,S,call_Delta,call_Gamma,call_Vega,call_Theta,call_Rho,put_Delta,put_Gamma,put_Vega,put_Theta,put_Rho
0,12000.0,1.1176203020151471e-40,2.4142580527827505e-42,5.143361813270867e-36,-5.718822386047364e-36,1.098097372169832e-37,-1.0,2.4142580527827505e-42,5.143361813270867e-36,1551.6879765450794,-1962.09227803382
1,12096.385542168675,8.784884882966822e-40,1.860873322724583e-41,4.0283662259705403e-35,-4.4798664680575684e-35,8.700373102612395e-37,-1.0,1.860873322724583e-41,4.0283662259705403e-35,1551.6879765450794,-1962.09227803382
2,12192.77108433735,6.634607743224082e-39,1.3781521178790133e-40,3.031118341175491e-34,-3.3714502297281714e-34,6.622842504658612e-36,-1.0,1.3781521178790133e-40,3.031118341175491e-34,1551.6879765450794,-1962.09227803382
3,12289.156626506025,4.818224012825935e-38,9.814742191882312e-40,2.192925867235061e-33,-2.4395893194323027e-33,4.847480903255321e-35,-1.0,9.814742191882312e-40,2.192925867235061e-33,1551.6879765450794,-1962.09227803382
4,12385.5421686747,3.367416979656678e-37,6.726770875689904e-39,1.5266432966875297e-32,-1.69867566249432e-32,3.4142785190484735e-34,-1.0,6.726770875689904e-39,1.5266432966875297e-32,1551.6879765450794,-1962.09227803382
5,12481.927710843374,2.2666337792798323e-36,4.4403350973167367e-38,1.0234814306902681e-31,-1.1390274943106149e-31,2.3159529236802483e-33,-1.0,4.4403350973167367e-38,1.0234814306902681e-31,1551.6879765450794,-1962.09227803382
6,12578.313253012047,1.4705094436280691e-35,2.825092547228153e-37,6.612693406801226e-31,-7.360634321497955e-31,1.51403634626696e-32,-1.0,2.825092547228153e-37,6.612693406801226e-31,1551.6879765450794,-1962.09227803382
7,12674.698795180722,9.201849153129045e-35,1.7337052440566695e-36,4.120514560023169e-30,-4.5874592533438574e-30,9.546361658818266e-32,-1.0,1.7337052440566695e-36,4.120514560023169e-30,1551.6879765450794,-1962.09227803382
8,12771.084337349397,5.5579383396514745e-34,1.026958723602486e-35,2.4780463744801288e-29,-2.7594049396348376e-29,5.809588144880482e-31,-1.0,1.026958723602486e-35,2.4780463744801288e-29,1551.6879765450794,-1962.09227803382
9,12867.469879518072,3.242545624273573e-33,5.875803837925902e-35,1.4393105361489182e-28,-1.603050178516265e-28,3.4147702549883466e-30,-1.0,5.875803837925902e-35,1.4393105361489182e-28,1551.6879765450794,-1962.09227803382
10,12963.855421686747,1.8284658867833846e-32,3.24946452811288e-34,8.079436160844965e-28,-9.000397051597293e-28,1.939908815242044e-29,-1.0,3.24946452811288e-34,8.079436160844965e-28,1551.6879765450794,-1962.09227803382
11,13060.240963855422,9.972478858467731e-32,1.738091438656443e-33,4.386073401561823e-27,-4.887040605758166e-27,1.0658406454959407e-28,-1.0,1.738091438656443e-33,4.386073401561823e-27,1551.6879765450794,-1962.09227803382
12,13156.626506024097,5.263985534385683e-31,8.997638647555764e-33,2.3041913127333132e-26,-2.5679082116342415e-26,5.667278085301981e-28,-1.0,8.997638647555764e-33,2.3041913127333132e-26,1551.6879765450794,-1962.09227803382
13,13253.012048192772,2.69087979134967e-30,4.5107766026048375e-32,1.1721451637778712e-25,-1.3065763131010892e-25,2.9181064823165765e-27,-1.0,4.5107766026048375e-32,1.1721451637778712e-25,1551.6879765450794,-1962.09227803382
14,13349.397590361446,1.3329316108740832e-29,2.1913201641796517e-31,5.777368463682311e-25,-6.441357697994493e-25,1.4559228273428336e-26,-1.0,2.1913201641796517e-31,5.777368463682311e-25,1551.6879765450794,-1962.09227803382
15,13445.783132530121,6.401985646033747e-29,1.0321679639938423e-30,2.76072708022722e-24,-3.0786930200906923e-24,7.042807238173189e-26,-1.0,1.0321679639938423e-30,2.76072708022722e-24,1551.6879765450794,-1962.09227803382
16,13542.168674698794,2.9830990529741453e-28,4.716684298949223e-30,1.279717596704457e-23,-1.427428123960461e-23,3.305039692612923e-25,-1.0,4.716684298949223e-30,1.279717596704457e-23,1551.6879765450794,-1962.09227803382
17,13638.55421686747,1.3493154347147024e-27,2.092236583549364e-29,5.757691029346392e-23,-6.423730873606969e-23,1.5054903663561873e-24,-1.0,2.092236583549364e-29,5.757691029346392e-23,1551.6879765450794,-1962.09227803382
18,13734.939759036144,5.927790043225145e-27,9.013883965526733e-29,2.5157435995296097e-22,-2.8074107365274806e-22,6.660252270924077e-24,-1.0,9.013883965526733e-29,2.5157435995296097e-22,1551.6879765450794,-1962.09227803382
19,13831.325301204819,2.5306990267120903e-26,3.773758718246025e-28,1.068077130425557e-21,-1.192187505614608e-21,2.863188341237932e-23,-1.0,3.773758718246025e-28,1.068077130425557e-21,1551.6879765450794,-1962.09227803382
20,13927.710843373494,1.0504750644490875e-25,1.5361210568062958e-27,4.408449002586538e-21,-4.921890659395475e-21,1.1966997036444692e-22,-1.0,1.5361210568062958e-27,4.408449002586538e-21,1551.6879765450794,-1962.09227803382
21,14024.096385542169,4.241820570906691e-25,6.082590407838059e-27,1.769861344624368e-20,-1.976475549113613e-20,4.865421717588653e-22,-1.0,6.082590407838059e-27,1.769861344624368e-20,1551.6879765450794,-1962.09227803382
22,14120.481927710844,1.667088139905433e-24,2.3441255834102302e-26,6.914818873431327e-20,-7.723977436861993e-20,1.9251941469507777e-21,-1.0,2.3441255834102302e-26,6.914818873431327e-20,1551.6879765450794,-1962.09227803382
23,14216.867469879518,6.379958176388389e-24,8.796593970658228e-26,2.6304089386741377e-19,-2.9389582967192207e-19,7.417556443124137e-21,-1.0,8.796593970658228e-26,2.6304089386741377e-19,1551.6879765450794,-1962.09227803382
24,14313.253012048193,2.3786929913625228e-23,3.215857407275396e-25,9.747076520923335e-19,-1.0893226315872562e-18,2.784120448406877e-20,-1.0,3.215857407275396e-25,9.747076520923335e-19,1551.6879765450794,-1962.09227803382
25,14409.638554216868,8.644177843712538e-23,1.1458556962629836e-24,3.519954080767571e-18,-3.934895849072086e-18,1.0184969099885682e-19,-1.0,1.1458556962629836e-24,3.519954080767571e-18,1551.6879765450794,-1962.09227803382
26,14506.024096385543,3.0631797572264576e-22,3.981178135905844e-24,1.2393937300544704e-17,-1.3858677410335596e-17,3.6330798681451783e-19,-1.0,3.981178135905844e-24,1.2393937300544704e-17,1551.6879765450794,-1962.09227803382
27,14602.409638554218,1.058958533465156e-21,1.3493819240544442e-23,4.2568156094231815e-17,-4.7611930870141666e-17,1.264235970863428e-18,-1.0,1.3493819240544442e-23,4.2568156094231815e-17,1551.6879765450794,-1962.09227803382
28,14698.795180722893,3.5729988254691284e-21,4.463631968497805e-23,1.4267659993328865e-16,-1.5962630299811556e-16,4.2934786990488865e-18,-1.0,4.463631968497805e-23,1.4267659993328865e-16,1551.6879765450794,-1962.09227803382
29,14795.180722891566,1.1771172171352407e-20,1.441638559816455e-22,4.668720061056553e-16,-5.224835694066831e-16,1.4236530311052277e-17,-1.0,1.441638559816455e-22,4.668720061056553e-16,1551.6879765450794,-1962.09227803382
30,14891.56626506024,3.78809420694456e-20,4.54798515561628e-22,1.4921094833967826e-15,-1.670325132189133e-15,4.610990246953325e-17,-1.0,4.54798515561628e-22,1.4921094833967826e-15,1551.6879765450794,-1962.09227803382
31,14987.951807228916,1.1912784945887004e-19,1.4020140806596246e-21,4.659484234970354e-15,-5.217544825231439e-15,1.4593414702495364e-16,-1.0,1.4020140806596246e-21,4.659484234970354e-15,1551.6879765450794,-1962.09227803382
32,15084.33734939759,3.6624408733376263e-19,4.225017364703665e-21,1.4222694008478575e-14,-1.5930917846500504e-14,4.515084179765602e-16,-1.0,4.225017364703665e-21,1.4222694008478575e-14,1551.6879765450794,-1962.09227803382
33,15180.722891566265,1.1011899246449738e-18,1.245132771555732e-20,4.2452323461297846e-14,-4.7565672012850307e-14,1.366125803240245e-15,-1.0,1.245132771555732e-20,4.2452323461297846e-14,1551.6879765450794,-1962.09227803382
34,15277.10843373494,3.2393204150003944e-18,3.589867300986075e-20,1.2395430451181624e-13,-1.3892799252161465e-13,4.04387238926348e-15,-1.0,3.589867300986075e-20,1.2395430451181624e-13,1551.6879765450792,-1962.09227803382
35,15373.493975903615,9.326266844213576e-18,1.0129256911623453e-19,3.5417968374133434e-13,-3.970914980687608e-13,1.171516675068453e-14,-1.0,1.0129256911623453e-19,3.5417968374133434e-13,1551.687976545079,-1962.09227803382
36,15469.879518072288,2.6289522059678443e-17,2.7981474902923734e-19,9.907072940693422e-13,-1.1111022037425902e-12,3.322788206953907e-14,-1.0,2.7981474902923734e-19,9.907072940693422e-13,1551.6879765450783,-1962.09227803382
