,S,finite_difference,analytical
0,0.0,23872.122716078145,23872.122716078145
1,450.0,23422.122716066784,23422.122716078145
2,900.0,22972.122716065616,22972.122716078145
3,1350.0,22522.122716066577,22522.122716078145
4,1800.0,22072.122716065955,22072.122716078145
5,2250.0,21622.122716065962,21622.122716078145
6,2700.0,21172.122716065955,21172.122716078145
7,3150.0,20722.122716066657,20722.122716078145
8,3600.0,20272.122716066144,20272.122716078145
9,4050.0,19822.122716066086,19822.122716078145
10,4500.0,19372.122716065944,19372.122716078145
11,4950.0,18922.122716066002,18922.122716078145
12,5400.0,18472.122716066217,18472.122716078145
13,5850.0,18022.122716066067,18022.122716078145
14,6300.0,17572.1227160666,17572.122716078145
15,6750.0,17122.12271606677,17122.122716078145
16,7200.0,16672.122716066253,16672.122716078145
17,7650.0,16222.12271606651,16222.122716078145
18,8100.0,15772.122716066062,15772.122716078145
19,8550.0,15322.122716066246,15322.122716078145
20,9000.0,14872.122716066191,14872.122716078145
21,9450.0,14422.122716066244,14422.122716078145
22,9900.0,13972.122716066266,13972.122716078145
23,10350.0,13522.122716066224,13522.122716078145
24,10800.0,13072.122716066378,13072.122716078145
25,11250.0,12622.122716066395,12622.122716078145
26,11700.0,12172.12271606628,12172.122716078145
27,12150.0,11722.122716066258,11722.122716078145
28,12600.0,11272.122716066191,11272.122716078145
29,13050.0,10822.122716066202,10822.122716078145
30,13500.0,10372.122716066153,10372.122716078145
31,13950.0,9922.122716066273,9922.122716078145
32,14400.0,9472.122716066388,9472.122716078145
33,14850.0,9022.122716066388,9022.122716078145
34,15300.0,8572.122716066628,8572.122716078145
35,15750.0,8122.122716069519,8122.1227160781455
36,16200.0,7672.122716099595,7672.122716078147
37,16650.0,7222.1227163789345,7222.122716078349
38,17100.0,6772.122718713053,6772.122716085949
39,17550.0,6322.122736248618,6322.122716288042
40,18000.0,5872.122854553402,5872.122720193453
41,18450.0,5422.123570327352,5422.122776257518
42,18900.0,4972.1274477774305,4972.123386455467
43,19350.0,4522.146220542318,4522.128517659927
44,19800.0,4072.227290265498,4072.162444300233
45,20250.0,3622.538906081203,3622.3417303033493
46,20700.0,3173.6027491043715,3173.1107329415136
47,21150.0,2726.821956775726,2725.8274054199064
48,21600.0,2285.4417920085425,2283.8435915444315
49,22050.0,1855.8446046196916,1853.8716123578415
50,22500.0,1448.540998742374,1446.813654433754
51,22950.0,1077.690716519758,1076.8981684987157
52,23400.0,758.2476058285882,758.6001640454451
53,23850.0,501.33115723412817,502.3179684742936
54,24300.0,310.20193276578095,310.95541045672144
55,24750.0,179.31788860645864,179.24013714922057
56,25200.0,96.88112517556792,95.9555238353314
57,25650.0,49.01956547181834,47.64577416089037
58,26100.0,23.300048942109964,21.936564207348738
59,26550.0,10.442554522168733,9.36969722444013
60,27000.0,4.430355629905186,3.7169397208884902
61,27450.0,1.7864252621336105,1.3716221765701277
62,27900.0,0.6872713867382707,0.4717334585377344
63,28350.0,0.25320123081808926,0.15152680851618783
64,28800.0,0.0896377202281616,0.04556056558276289
65,29250.0,0.030590484539269873,0.012853003523061846
66,29700.0,0.010093130214007276,0.0034100327550494747
67,30150.0,0.003228326875280074,0.0008528498338373908
68,30600.0,0.0010034844845061045,0.00020153809274952791
69,31050.0,0.0003038110452415576,4.5102856598355605e-05
70,31500.0,8.97740584679845e-05,9.580344534410902e-06
71,31950.0,2.594007283221106e-05,1.9356584686207486e-06
72,32400.0,7.341997299582969e-06,3.727841246732824e-07
73,32850.0,2.0387651176430296e-06,6.857195553042271e-08
74,33300.0,5.562383411197693e-07,1.2071010928904332e-08
75,33750.0,1.493052864053067e-07,2.0373436030984505e-09
76,34200.0,3.9476952980003205e-08,3.3028757554012635e-10
77,34650.0,1.0293382537131924e-08,5.152049941753622e-11
78,35100.0,2.649553441750123e-09,7.745505759256711e-12
79,35550.0,6.739179792056475e-10,1.1240709596625853e-12
80,36000.0,1.6953123062321065e-10,1.577159107384029e-13
81,36450.0,4.221442280685634e-11,2.1425501240193415e-14
82,36900.0,1.0412973850300165e-11,2.8220801555810523e-15
83,37350.0,2.5462568430271913e-12,3.608893661995651e-16
84,37800.0,6.176356056371636e-13,4.486463298088493e-17
85,38250.0,1.4870808105681322e-13,5.428686664943608e-18
86,38700.0,3.5559881484780647e-14,6.401161984361812e-19
87,39150.0,8.449758297913659e-15,7.363553140043552e-20
88,39600.0,1.9962089669787183e-15,8.272773833632278e-21
89,40050.0,4.690842835919632e-16,9.086588055143657e-22
90,40500.0,1.0969110063205075e-16,9.767164688401253e-23
91,40950.0,2.5535715716819637e-17,1.0284145518825242e-23
92,41400.0,5.9203888814594746e-18,1.0616878267714256e-24
93,41850.0,1.3675309900524653e-18,1.0755606271537e-25
94,42300.0,3.148172697753491e-19,1.070156424753404e-26
95,42750.0,7.225288943794935e-20,1.0466076172441651e-27
96,43200.0,1.6537119711893697e-20,1.0068864184861614e-28
97,43650.0,3.775700696162139e-21,9.535844000761183e-30
98,44100.0,8.601738810579173e-22,8.896700413779563e-31
99,44550.0,1.9558578591258127e-22,8.18251245933889e-32
100,45000.0,4.4397226952270304e-23,7.423643748863183e-33
101,45450.0,1.0063320810979389e-23,6.648043426687057e-34
102,45900.0,2.2781783098217165e-24,5.880030456978189e-35
103,46350.0,5.1520964270733865e-25,5.13956892824647e-36
104,46800.0,1.16416449145454e-25,4.44199140547867e-37
105,47250.0,2.6288063342453807e-26,3.7980938718791803e-38
