,S,quantum,black_scholes,finite_difference
0,10783.895138813305,7046.38090679542,13088.22757726484,13088.227577253068
1,10851.771517399735,7632.437316723273,13020.35119867841,13020.351198666645
2,10920.075125916603,8195.576698458886,12952.047590161543,12952.04759014978
3,10988.808653449842,8727.871759844333,12883.314062628304,12883.314062616544
4,11057.974806011065,9222.58771696823,12814.14791006708,12814.147910055322
5,11127.576306644221,9674.41004705747,12744.546409433924,12744.54640942217
6,11197.615895532721,10079.578673435222,12674.506820545424,12674.506820533672
7,11268.096330107352,10435.925188169133,12604.026385970794,12604.026385959038
8,11339.020385154765,10742.818110137947,12533.10233092338,12533.102330911608
9,11410.39085292683,11001.028421918472,12461.731863151315,12461.731863139525
10,11482.21054325049,11212.533023485848,12389.912172827655,12389.912172815844
11,11554.482283638401,11380.276873627552,12317.640432439744,12317.640432427916
12,11627.20891940027,11507.915371855135,12244.913796677876,12244.91379666603
13,11700.393313754792,11599.557172670928,12171.729402323353,12171.729402311488
14,11774.038347942498,11659.524560970682,12098.084368135647,12098.084368123778
15,11848.146921339108,11692.144334370252,12023.975794739037,12023.975794727165
16,11922.721951569692,11701.577460558941,11949.400764508453,11949.400764496577
17,11997.766374623567,11691.69118413893,11874.356341454579,11874.356341442699
18,12073.283144969786,11665.973212308976,11798.83957110836,11798.839571096476
19,12149.275235673602,11627.48442327915,11722.847480404544,11722.847480392657
20,12225.745638513412,11578.84436330503,11646.377077564734,11646.377077552836
21,12302.697364098596,11522.242627543948,11569.42535197955,11569.425351967639
22,12380.133441987955,11459.468941124229,11491.98927409019,11491.989274078269
23,12458.056920809111,11391.955180545549,11414.065795269034,11414.065795257102
24,12536.470868378448,11320.823480330186,11335.651847699697,11335.651847687752
25,12615.378371821906,11246.935737923543,11256.74434425624,11256.744344244285
26,12694.782537696548,11170.941073071925,11177.340178381597,11177.340178369644
27,12774.686492112774,11093.318972785228,11097.436223965371,11097.43622395342
28,12855.093380857523,11014.416865396845,11017.029335220623,11017.029335208674
29,12936.006369518038,10934.481669181489,10936.116346560108,10936.11634654816
30,13017.428643606518,10853.68544226471,10854.694072471628,10854.694072459684
31,13099.363408685544,10772.145637954665,10772.759307392602,10772.759307380653
32,13181.813890494199,10689.940676134791,10690.308825583947,10690.308825571989
33,13264.783335075195,10607.121616812608,10607.33938100295,10607.339380990983
34,13348.27500890258,10523.720705968468,10523.847707175566,10523.84770716359
35,13432.292199010384,10439.75749139432,10439.830517067761,10439.830517055776
36,13516.838213121935,10355.243105117173,10355.28450295621,10355.284502944221
37,13601.916379780216,10270.183199518267,10270.20633629793,10270.206336285964
38,13687.530048478826,10184.579919638703,10184.59266759932,10184.592667587378
39,13773.682589793867,10098.433201900652,10098.440126284278,10098.440126272359
40,13860.377395516663,10011.741612774753,10011.745320561482,10011.745320549586
41,13947.617878787201,9924.502880102069,9924.504837290944,9924.504837279072
42,14035.40747422865,9836.714223429915,9836.715241849495,9836.715241837644
