,study,x,label,probability
0,maturity,0.019178082191780823,7d,0.9539806610937167
1,maturity,0.038356164383561646,14d,0.932874507049377
2,maturity,0.0821917808219178,30d,0.897832773910083
3,maturity,0.1643835616438356,60d,0.8494811627929065
4,maturity,0.3287671232876712,120d,0.7776963856890239
5,volatility,0.1,10%,0.9394607134853721
6,volatility,0.15,15%,0.9135130328473379
7,volatility,0.2,20%,0.8873399498742578
8,volatility,0.25,25%,0.8610112921509179
9,volatility,0.3,30%,0.8346239149584334
10,interest_rate,0.055,5.5%,0.8993098771262618
11,interest_rate,0.06,6.0%,0.8985710220038302
12,interest_rate,0.065,6.5%,0.897832773910083
13,interest_rate,0.07,7.0%,0.8970951323462983
14,interest_rate,0.075,7.5%,0.8963580968141626
15,grid_size,4.0,4,0.9188737302980536
16,grid_size,5.0,5,0.9038276520936115
17,grid_size,6.0,6,0.8993458387863867
18,grid_size,7.0,7,0.897832773910083
19,grid_size,8.0,8,0.8972465105200036
20,grid_size,9.0,9,0.896995039183605
