,grid_qubits,grid_points,complex128_bytes,complex128_human,complex64_bytes,complex64_human,hamiltonian_diagonal_entries,qft_single_qubit_gate_estimate,qft_two_qubit_gate_estimate,small_circuit_depth_estimate,runtime_proxy_N_log2N,price_grid_resolution_proxy,full_statevector_safe_default
0,4,16,256,256.00 B,128,128.00 B,16,4,6,14,64.0,0.06666666666666667,True
1,6,64,1024,1.02 KB,512,512.00 B,64,6,15,27,384.0,0.015873015873015872,True
2,8,256,4096,4.10 KB,2048,2.05 KB,256,8,28,44,2048.0,0.00392156862745098,True
3,10,1024,16384,16.38 KB,8192,8.19 KB,1024,10,45,65,10240.0,0.0009775171065493646,True
4,12,4096,65536,65.54 KB,32768,32.77 KB,4096,12,66,90,49152.0,0.0002442002442002442,True
5,14,16384,262144,262.14 KB,131072,131.07 KB,16384,14,91,119,229376.0,6.103888176768602e-05,True
6,16,65536,1048576,1.05 MB,524288,524.29 KB,65536,16,120,152,1048576.0,1.5259021896696422e-05,True
7,20,1048576,16777216,16.78 MB,8388608,8.39 MB,1048576,20,190,230,20971520.0,9.536752259018191e-07,True
8,24,16777216,268435456,268.44 MB,134217728,134.22 MB,16777216,24,276,324,402653184.0,5.960464832810452e-08,True
9,30,1073741824,17179869184,17.18 GB,8589934592,8.59 GB,1073741824,30,435,495,32212254720.0,9.313225754828403e-10,False
10,35,34359738368,549755813888,549.76 GB,274877906944,274.88 GB,34359738368,35,595,665,1202590842880.0,2.9103830457580737e-11,False
11,40,1099511627776,17592186044416,17.59 TB,8796093022208,8.80 TB,1099511627776,40,780,860,43980465111040.0,9.094947017737554e-13,False
