,scenario,type,shock,pnl,total_theoretical_value,total_market_value,total_pnl,portfolio_Delta,portfolio_Gamma,portfolio_Vega,portfolio_Theta,portfolio_Rho
20,time_decay_7d,time_decay,7.0,-9493.15521365362,-13845.283895465102,17400.0,-31245.2838954651,-17.756180694115418,0.0201454285216236,21489.961280864052,-509741.4484225559,44305.0906103087
19,time_decay_3d,time_decay,3.0,-4251.156655754837,-8603.28533756632,17400.0,-26003.285337566318,-20.516024117038963,0.026054003675464642,50081.01893400507,-498232.95652066154,45172.22161351289
14,vol_abs_-2.0%,vol_absolute,-0.02,-1689.186105010821,-6041.314786822304,17400.0,-23441.314786822302,-21.185722771635668,0.03172094996676611,83203.08420213217,-443769.04530754464,49645.420743795694
18,time_decay_1d,time_decay,1.0,-1440.928138883065,-5793.056820694548,17400.0,-23193.056820694546,-23.335200574562794,0.030616482991778764,73810.1669128584,-523414.1238948082,44568.30083976046
9,vol_rel_-10.0%,vol_relative,-0.1,-981.4515500664866,-5333.58023187797,17400.0,-22733.580231877968,-21.233582717987066,0.031460819043565014,83173.57419399107,-444245.1795709935,49754.730299257906
3,spot_-0.5%,spot,-0.005,-573.5130783207078,-4925.641760132191,17400.0,-22325.641760132192,-29.475220080943583,0.03842347316918435,107869.71212979997,-588173.026847802,40753.66729369846
10,vol_rel_-5.0%,vol_relative,-0.05,-497.7248136405069,-4849.85349545199,17400.0,-22249.853495451993,-23.000687505869074,0.031735281063977314,84378.33824639907,-484780.20641884964,46771.74678723806
2,spot_-1.0%,spot,-0.01,-388.97262955400856,-4741.101311365492,17400.0,-22141.10131136549,-35.03874688186005,0.04542213370477703,128479.9175230751,-649245.0255647777,36943.890981059696
21,rate_-0%,rate,-0.005,-220.7425497637596,-4572.871231575243,17400.0,-21972.871231575242,-24.860847033578956,0.032177533890681016,87290.99068344859,-528861.0508681352,44284.25554691752
22,rate_-0%,rate,-0.0025,-110.20133703574447,-4462.330018847228,17400.0,-21862.330018847235,-24.791116376356015,0.032087063837161506,86636.96315087992,-528278.9947302059,44148.61220810616
23,rate_+0%,rate,0.0,0.0,-4352.128681811483,17400.0,-21752.128681811486,-24.721681471824983,0.03199640514565869,85983.05325349397,-527702.2044499277,44012.35533841665
4,spot_+0.0%,spot,0.0,0.0,-4352.128681811483,17400.0,-21752.128681811486,-24.721681471824983,0.03199640514565869,85983.05325349397,-527702.2044499277,44012.35533841665
11,vol_rel_+0.0%,vol_relative,0.0,0.0,-4352.128681811483,17400.0,-21752.128681811486,-24.721681471824983,0.03199640514565869,85983.05325349397,-527702.2044499277,44012.35533841665
15,vol_abs_+0.0%,vol_absolute,0.0,0.0,-4352.128681811483,17400.0,-21752.128681811486,-24.721681471824983,0.03199640514565869,85983.05325349397,-527702.2044499277,44012.35533841665
24,rate_+0%,rate,0.0025,109.85993011612936,-4242.268751695354,17400.0,-21642.268751695352,-24.65254311537223,0.031905559646550084,85329.28464719819,-527130.6457726769,43875.48702120348
25,rate_+0%,rate,0.005,219.3769273268881,-4132.751754484595,17400.0,-21532.751754484594,-24.58370209227636,0.03181452918380549,84675.68098491753,-526564.2844611626,43738.00936920435
12,vol_rel_+5.0%,vol_relative,0.05,515.0960586909641,-3837.032623120519,17400.0,-21237.032623120518,-26.393167832623952,0.032214981648789304,87857.21210107915,-572639.3319286961,41453.15520436602
13,vol_rel_+10.0%,vol_relative,0.1,1049.776112086457,-3302.352569725026,17400.0,-20702.352569725026,-28.012462502122613,0.03237532465223979,89900.92456523859,-619259.1143414351,39074.1953128926
5,spot_+0.5%,spot,0.005,1236.3979745541956,-3115.7307072572876,17400.0,-20515.730707257288,-20.70990343437328,0.026274187938719884,63322.93747936117,-469639.822583275,46697.56257321275
16,vol_abs_+2.0%,vol_absolute,0.02,1757.4509961538597,-2594.6776856576234,17400.0,-19994.677685657625,-28.04276844320159,0.032215857328940244,89876.33184052705,-619736.4917453626,39133.06405244265
1,spot_-2.0%,spot,-0.02,2653.558315385796,-1698.570366425687,17400.0,-19098.570366425687,-48.73891261224199,0.060007577466494856,163139.10826645355,-760619.8857197011,27840.193651506615
6,spot_+1.0%,spot,0.01,3047.044500877539,-1305.084180933944,17400.0,-18705.084180933944,-17.361242275752698,0.021291920269547664,40270.06932573607,-414860.3515780852,48798.34292149569
17,vol_abs_+5.0%,vol_absolute,0.05,4550.218011755534,198.0893299440504,17400.0,-17201.91067005595,-32.59655193948981,0.032173271700763686,96336.79458192503,-767706.0122415379,32944.08086981631
7,spot_+2.0%,spot,0.02,8073.245737876785,3721.1170560653018,17400.0,-13678.8829439347,-12.34195170425194,0.013366402660977252,-5864.487645826932,-315509.9170686371,51244.45778506681
8,spot_+5.0%,spot,0.05,29822.42754504384,25470.298863232358,17400.0,8070.298863232357,-6.511401750541253,0.00010625925244004894,-125870.66056060547,-80334.0777531233,45662.76567408899
0,spot_-5.0%,spot,-0.05,39013.01358484787,34660.884903036385,17400.0,17260.88490303639,-104.02976663005873,0.07570162853034355,160622.14392421942,-707495.8766057685,-4502.960629094305
